Iteration	CPUTime	PhysTime	Travels
1	1	0	0.025
2	1	0	0.05
3	1	0	0.075
4	1	0	0.1
5	1	0	0.125
6	1	0	0.15
7	1	0	0.175
8	2	0	0.2
9	2	0	0.225
10	2	0	0.25
11	2	0	0.275
12	2	0	0.3
13	2	0	0.325
14	2	0	0.35
15	2	0	0.375
16	2	0	0.4
17	2	0	0.425
18	2	0	0.45
19	2	0	0.475
20	2	0	0.5
21	2	0	0.525
22	2	0	0.55
23	2	0	0.575
24	2	0	0.6
25	2	0	0.625
26	2	0	0.65
27	2	0	0.675
28	2	0	0.7
29	2	0	0.725
30	2	0	0.75
31	2	0	0.775
32	2	0	0.8
33	2	0	0.825
34	2	0	0.85
35	2	0	0.875
36	2	0	0.9
37	3	0	0.925
38	3	0	0.95
39	3	0	0.975
40	3	0	1
41	3	0	1.025
42	3	0	1.05
43	3	0	1.075
44	3	0	1.1
45	3	0	1.125
46	3	0	1.15
